speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Arth-Hexa-Coleoptera-000129,,,Arsipoda wallacei,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Arsipoda,"","",wallacei,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000137,,,Hemipyxis semiviridis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Hemipyxis,"","",semiviridis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000138,,,Hyphasis unifasciata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Hyphasis,"","",unifasciata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000139,,,Nisotra chrysomeloides,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Nisotra,"","",chrysomeloides,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000141,,,Nonarthra sumatrensis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Nonarthra,"","",sumatrensis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000142,,,Orthaltica laticollis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Orthaltica,"","",laticollis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000143,,,Orthaltica minutiuscula,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Orthaltica,"","",minutiuscula,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000144,,,Orthaltica minor,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Orthaltica,"","",minor,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000145,,,Orthaltica nigripennis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Orthaltica,"","",nigripennis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000146,,,Orthaltica parva,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Orthaltica,"","",parva,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000148,,,Sphaerometopa diversa,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,Alticini,Sphaerometopa,"","",diversa,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000152,,,Aspidimorpha calligera,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Cassidinae,"",Aspidimorpha,"","",calligera,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000171,,,Thlaspida horsfeldi,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Cassidinae,"",Thlaspida,"","",horsfeldi,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000174,,,Chalcolampra sedecimpustulata ,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Chrysomelinae,"",Chalcolampra,"","",sedecimpustulata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000175,,,Chrysolina stictica,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Chrysomelinae,"",Chrysolina,"","",stictica,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000176,,,Phyllocharis undulata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Chrysomelinae,"",Phyllocharis,"","",undulata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000177,,,Aspidolopha buquetii,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Cryptocephalinae,Clytrini,Aspidolopha,"","",buquetii,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000179,,,Lema bowringi,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lema,"","",bowringi,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000180,,,Lema pectoralis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lema,"","",pectoralis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000181,,,Lilioceris egena,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lilioceris,"","",egena,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000183,,,Lilioceris (Lilioceris) quadripustulata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lilioceris,Lilioceris,"",quadripustulata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000184,,,Lilioceris (Lilioceris) semipunctata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lilioceris,Lilioceris,"",semipunctata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000185,,,Lilioceris (Chujoita) severini,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Criocerinae,"",Lilioceris,Chujoita,"",severini,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000186,,,Donacia (Cyphogaster) javana,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Donaciinae,"",Donacia,Cyphogaster,"",javana,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000187,,,Apolepis aspera,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Apolepis,"","",aspera,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000189,,,Aulexis nigripennis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Aulexis,"","",nigripennis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000191,,,Callisina fasciata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Callisina,"","",fasciata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000192,,,Basilepta anthracina,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Basilepta,"","",anthracina,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000195,,,Aulacia ornata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Aulacia,"","",ornata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000198,,,Aulacia guskovae,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Eumolpinae,"",Aulacia,"","",guskovae,"",BOSuncornirmedSpecies,BOSunformired,
