speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
F-Basidomycota-000010,7690415,-1,<i>Clavulina rugosa</i>,,,Basidiomycota,Agaricomycetes,,,Cantharellales,,,,,,Clavulinaceae,,,Clavulina,,Clavulina,rugosa,""
A-Arth-Hexa-Coleoptera-001053,7563909,1104753,<i>Ceresium zeylanicum</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Cerambycinae,,Ceresium,,Ceresium,zeylanicum,""
A-Arth-Hexa-Coleoptera-001053,8319716,7463278,<i>Ceresium zeylanicum</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Cerambycinae,,Ceresium,,Ceresium,zeylanicum,""
A-Arth-Hexa-Coleoptera-000385,1112628,8031445,<i>Choeromorpha (Choeromorpha) polynesa</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Choeromorpha,Choeromorpha,Choeromorpha,polynesa,""
A-Vert-Pisces-000090,8357599,2367430,<i>Hampala macrolepidota</i>,,,Chordata,Actinopterygii,,,Cypriniformes,,,,,,Cyprinidae,,,Hampala,,Hampala,macrolepidota,""
A-Arth-Hexa-Hemiptera-000834,2088447,7911763,<i>Unaspis citri</i>,,,Arthropoda,Insecta,,,Hemiptera,Sternorrhyncha,Coccidomorpha,,,Coccoidea,Diaspididae,Diaspidinae,,Unaspis,,Unaspis,citri,""
A-Arth-Hexa-Lepidoptera-000693,5884247,-1,<i>Achaea serva</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Erebinae,,Achaea,,Achaea,serva,""
A-Arth-Hexa-Lepidoptera-000552,5110190,-1,<i>Cyclodes omma</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Calpinae,,Cyclodes,,Cyclodes,omma,""
A-Vert-Aves-000072,11242102,2481741,<i>Calidris ferruginea</i>,,,Chordata,Aves,,,Charadriiformes,,,,,,Scolopacidae,,,Calidris,,Calidris,ferruginea,""
A-Arth-Hexa-Hymenoptera-000159,5034192,-1,<i>Camponotus</i> (<i>Myrmamblys</i>) <i>reticulatus</i>,,,,Insecta,,,Hymenoptera,,,,,,Formicidae,Formicinae,Camponotini,Camponotus,Myrmamblys,Camponotus,reticulatus,""
A-Vert-Mammalia-000064,2440460,-1,<i>Orcaella brevirostris</i>,,,Chordata,Mammalia,,,Cetacea,,,,,,Delphinidae,,,Orcaella,,Orcaella,brevirostris,""
A-Vert-Reptilia-000074,8123287,5222791,<i>Lycodon subcinctus</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Colubridae,,,Lycodon,,Lycodon,subcinctus,""
A-Vert-Reptilia-000074,11020580,5222791,<i>Lycodon subcinctus</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Colubridae,,,Lycodon,,Lycodon,subcinctus,""
A-Moll-Gastropoda-000369,7891882,4360425,<i>Eualetes tulipa</i>,,,Mollusca,Gastropoda,Caenogastropoda,,Littorinimorpha,,,,,Vermetoidea,Vermetidae,,,Eualetes,,Eualetes,tulipa,""
A-Moll-Bivalvia-000107,4594375,2288720,<i>Lima vulgaris</i>,,,Mollusca,Bivalvia,Pteriomorphia,,Limida,,,,,,Limidae,,,Lima,,Lima,vulgaris,""
A-Arth-Hexa-Lepidoptera-000498,11954974,1788856,<i>Metaemene atrigutta</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Boletobiinae,,Metaemene,,Metaemene,atrigutta,""
A-Arth-Hexa-Lepidoptera-000498,11977755,1788856,<i>Metaemene atrigutta</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Boletobiinae,,Metaemene,,Metaemene,atrigutta,""
A-Arth-Arac-Acari-000003,2184290,-1,<i>Amblyomma nitidum</i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Amblyomminae,,Amblyomma,,Amblyomma,nitidum,""
A-Arth-Arac-Acari-000008,2183266,-1,<i>Haemaphysalis wellingtoni<i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Haemaphysalinae,,Haemaphysalis,,Haemaphysalis,wellingtoni,""
A-Arth-Arac-Acari-000007,2183276,-1,<i>Haemaphysalis hystricis<i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Haemaphysalinae,,Haemaphysalis,,Haemaphysalis,hystricis,""
A-Arth-Arac-Acari-000004,2184123,-1,<i>Amblyomma cordiferum</i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Amblyomminae,,Amblyomma,,Amblyomma,cordiferum,""
A-Arth-Arac-Acari-000002,2184006,-1,<i>Amblyomma javanense</i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Amblyomminae,,Amblyomma,,Amblyomma,javanense,""
A-Arth-Arac-Acari-000006,2183147,-1,<i>Haemaphysalis bispinosa<i>,,,Arthropoda,Arachnida,,Parasitiformes,Ixodida,,,,,,Ixodidae,Haemaphysalinae,,Haemaphysalis,,Haemaphysalis,bispinosa,""
A-Vert-Pisces-000700,2375300,-1,<i>Echeneis naucrates</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Echeneidae,,,Echeneis,,Echeneis,naucrates,""
A-Arth-Hexa-Lepidoptera-000589,11298586,5111535,<i>Leucania yu</i>,,,,Insecta,,,Lepidoptera,,,,,,Noctuidae,Noctuinae,,Leucania,,Leucania,yu,""
