speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
A-Vert-Aves-000246,7866461,2480379,<i>Macheiramphus alcinus</i>,,,Chordata,Aves,,,Accipitriformes,,,,,,Accipitridae,,,Macheiramphus,,Macheiramphus,alcinus,""
A-Moll-Bivalvia-000114,4588373,-1,<i>Mactra grandis</i>,,,Mollusca,Bivalvia,Heterodonta,Imparidentia,,,,,,Mactroidea,Mactridae,,,Mactra,,Mactra,grandis,""
A-Vert-Pisces-000109,5212838,-1,<i>Osteoglossum bicirrhosum</i>,,,Chordata,Actinopterygii,,,Osteoglossiformes,,,,,,Osteoglossidae,,,Osteoglossum,,Osteoglossum,bicirrhosum,""
A-Arth-Hexa-Coleoptera-000365,1129849,8410606,<i>Bacchisa (Bacchisa) albicornis</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Bacchisa,Bacchisa,Bacchisa,albicornis,""
A-Arth-Hexa-Coleoptera-000366,1129893,7933990,<i>Bacchisa (Bacchisa) melanura</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Bacchisa,Bacchisa,Bacchisa,melanura,""
A-Arth-Hexa-Coleoptera-000367,8190039,7870051,<i>Bacchisa (Bacchisa) nigriventris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Bacchisa,Bacchisa,Bacchisa,nigriventris,""
A-Vert-Pisces-000105,4353284,2373749,<i>Oreochromis niloticus</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Cichlidae,,,Haplochromis,,Oreochromis,niloticus,""
A-Arth-Hexa-Coleoptera-000455,4892945,6267525,<i>Olenecamptus bilobus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Olenecamptus,,Olenecamptus,bilobus,""
A-Arth-Hexa-Coleoptera-000455,9130860,6267525,<i>Olenecamptus bilobus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Olenecamptus,,Olenecamptus,bilobus,""
A-Vert-Pisces-000626,2382633,9815299,<i>Plectorhinchus gibbosus</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Haemulidae,,,Plectorhinchus,,Plectorhinchus,gibbosus,""
A-Arth-Hexa-Coleoptera-000367,10602005,1120314,<i>Bacchisa (Bacchisa) nigriventris</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Momisis,Bacchisa,Bacchisa,nigriventris,""
A-Vert-Aves-000081,9717283,-1,<i>Cecropis daurica</i>,,,Chordata,Aves,,,Passeriformes,,,,,,Hirundinidae,,,Cecropis,,Cecropis,daurica,""
F-Basidomycota-000106,7508572,7828728,<i>Truncospora ochroleuca</i>,,,Basidiomycota,Agaricomycetes,,,Polyporales,,,,,,Polyporaceae,,,Truncospora,,Truncospora,ochroleuca,""
A-Vert-Aves-000025,9450106,-1,<i>Anas poecilorhyncha</i>,,,Chordata,Aves,,,Anseriformes,,,,,,Anatidae,,,Anas,,Anas,poecilorhyncha,""
A-Moll-Gastropoda-000514,3234563,-1,<i>Ficus variegata</i>,,,Mollusca,Gastropoda,Caenogastropoda,,Littorinimorpha,,,,,Ficoidea,Ficidae,,,Ficus,,Ficus,variegata,""
A-Arth-Hexa-Coleoptera-000368,1133680,8324927,<i>Batocera rubus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Batocera,,Batocera,rubus,""
A-Arth-Hexa-Coleoptera-000368,7641340,8324927,<i>Batocera rubus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Batocera,,Batocera,rubus,""
A-Arth-Hexa-Coleoptera-000368,8402650,8324927,<i>Batocera rubus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Batocera,,Batocera,rubus,""
A-Arth-Hexa-Coleoptera-000368,7857892,8324927,<i>Batocera rubus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Batocera,,Batocera,rubus,""
A-Arth-Hexa-Coleoptera-000368,7932792,8324927,<i>Batocera rubus</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Batocera,,Batocera,rubus,""
A-Moll-Gastropoda-000256,5856687,-1,<i>Contradusta walkeri</i>,,,Mollusca,Gastropoda,Caenogastropoda,,Littorinimorpha,,,,,Cypraeoidea,Cypraeidae,,,Contradusta,,Contradusta,walkeri,""
A-Vert-Reptilia-000115,11346235,2453034,<i>Pareas margaritophorus</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Pareatidae,,,Pareas,,Pareas,margaritophorus,""
A-Vert-Reptilia-000056,10666208,5222935,<i>Calamaria lumbricoidea</i>,,,Chordata,Reptilia,,,Squamata,,,,,,Colubridae,,,Calamaria,,Calamaria,lumbricoidea,""
F-Basidomycota-000015,2529785,7391760,<i>Conocybe tenera</i>,,,Basidiomycota,Agaricomycetes,,,Agaricales,,,,,,Bolbitiaceae,,,Conocybe,,Conocybe,tenera,""
A-Arth-Crus-Decapoda-000681,2225820,-1,<i>Grapsus albolineatus</i>,,,Arthropoda,Malacostraca,,,Decapoda,Pleocyemata,Brachyura,,,Grapsoidea,Grapsidae,,,Grapsus,,Grapsus,albolineatus,""
A-Vert-Mammalia-000062,9729967,-1,<i>Dugong dugon</i>,,,Chordata,Mammalia,,,Sirenia,,,,,,Dugongidae,,,Dugong,,Dugong,dugon,""
A-Vert-Pisces-000693,2407362,-1,<i>Arothron stellatus</i>,,,Chordata,Actinopterygii,,,Tetraodontiformes,,,,,,Tetraodontidae,,,Arothron,,Arothron,stellatus,""
A-Vert-Pisces-000129,2362679,9797255,<i>Danio rerio</i>,,,Chordata,Actinopterygii,,,Cypriniformes,,,,,,Cyprinidae,,,Danio,,Danio,rerio,""
A-Arth-Hexa-Odonata-000095,5052197,-1,<i>Nannophya pygmaea</i>,,,Arthopoda,Insecta,,,Odonata,Anisoptera,,,,,Libellulidae,,,Nannophya,,Nannophya,pygmaea,""
A-Arth-Hexa-Lepidoptera-000396,7454066,1862403,<i>Daphnis hypothous</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Macroglossinae,,Daphnis,,Daphnis,hypothous,""
A-Arth-Hexa-Lepidoptera-000396,7956832,1862414,<i>Daphnis hypothous</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Macroglossinae,,Daphnis,,Daphnis,hypothous,""
A-Vert-Pisces-000475,9744355,2374590,<i>Helotes sexlineatus</i>,,,Chordata,Actinopterygii,,,Perciformes,,,,,,Terapontidae,,,Helotes,,Helotes,sexlineatus,""
A-Arth-Hexa-Lepidoptera-000569,12158716,7346401,<i>Neogurelca hyas</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Macroglossinae,,Neogurelca,,Neogurelca,hyas,""
A-Arth-Hexa-Lepidoptera-000569,12023769,11604569,<i>Neogurelca hyas</i>,,,,Insecta,,,Lepidoptera,,,,,,Sphingidae,Macroglossinae,,Neogurelca,,Neogurelca,hyas,""
A-Vert-Pisces-000183,2341901,7965247,<i>Plotosus lineatus</i>,,,Chordata,Actinopterygii,,,Siluriformes,,,,,,Plotosidae,,,Plotosus,,Plotosus,lineatus,""
A-Vert-Reptilia-000147,8940269,2442225,<i>Chelonia mydas</i>,,,Chordata,Reptilia,,,Testudines,,,,,,Cheloniidae,,,Chelonia,,Chelonia,mydas,""
